county,town,office,district,party,candidate,votes
Lamoille,HYDE PARK,President,,Libertarian,Gary Johnson,48
Lamoille,JOHNSON,President,,Libertarian,Gary Johnson,45
Lamoille,MORRISTOWN,President,,Libertarian,Gary Johnson,81
Lamoille,STOWE,President,,Libertarian,Gary Johnson,113
Lamoille,WATERVILLE,President,,Libertarian,Gary Johnson,14
Lamoille,WOLCOTT,President,,Libertarian,Gary Johnson,24
Orange,BRADFORD,President,,Libertarian,Gary Johnson,42
Orange,BRAINTREE,President,,Libertarian,Gary Johnson,21
Orange,BROOKFIELD,President,,Libertarian,Gary Johnson,34
Orange,CHELSEA,President,,Libertarian,Gary Johnson,22
Orange,CORINTH,President,,Libertarian,Gary Johnson,19
Orange,FAIRLEE,President,,Libertarian,Gary Johnson,17
Orange,NEWBURY,President,,Libertarian,Gary Johnson,28
Orange,ORANGE,President,,Libertarian,Gary Johnson,22
Orange,RANDOLPH,President,,Libertarian,Gary Johnson,78
Orange,STRAFFORD,President,,Libertarian,Gary Johnson,24
Orange,THETFORD,President,,Libertarian,Gary Johnson,45
Orange,TOPSHAM,President,,Libertarian,Gary Johnson,19
Orange,TUNBRIDGE,President,,Libertarian,Gary Johnson,21
Orange,VERSHIRE,President,,Libertarian,Gary Johnson,10
Orange,WASHINGTON,President,,Libertarian,Gary Johnson,24
Orange,WEST FAIRLEE,President,,Libertarian,Gary Johnson,15
Orange,WILLIAMSTOWN,President,,Libertarian,Gary Johnson,72
Orleans,ALBANY,President,,Libertarian,Gary Johnson,13
Orleans,BARTON,President,,Libertarian,Gary Johnson,32
Orleans,BROWNINGTON,President,,Libertarian,Gary Johnson,8
Orleans,CHARLESTON,President,,Libertarian,Gary Johnson,17
Orleans,COVENTRY,President,,Libertarian,Gary Johnson,16
Orleans,CRAFTSBURY,President,,Libertarian,Gary Johnson,26
Orleans,DERBY,President,,Libertarian,Gary Johnson,82
Orleans,GLOVER,President,,Libertarian,Gary Johnson,31
Orleans,GREENSBORO,President,,Libertarian,Gary Johnson,12
Orleans,HOLLAND,President,,Libertarian,Gary Johnson,10
Orleans,IRASBURG,President,,Libertarian,Gary Johnson,27
Orleans,JAY,President,,Libertarian,Gary Johnson,6
Orleans,LOWELL,President,,Libertarian,Gary Johnson,11
Orleans,MORGAN,President,,Libertarian,Gary Johnson,10
Orleans,NEWPORT CITY,President,,Libertarian,Gary Johnson,34
Orleans,NEWPORT TOWN,President,,Libertarian,Gary Johnson,31
Orleans,TROY,President,,Libertarian,Gary Johnson,19
Orleans,WESTFIELD,President,,Libertarian,Gary Johnson,6
